观点	频次
空间大	5534
空间很大	2644
外观大气	2113
性价比高	2028
动力够用	2012
油耗低	2000
配置高	1973
外观满意	1864
空间够用	1840
空间足够	1833
油耗高	1703
性价比很高	1573
外观时尚	1546
空间不错	1478
配置丰富	1450
动力不错	1412
外观漂亮	1375
油耗满意	1354
座椅很舒服	1257
性价高	1242
外观喜欢	1182
动力足够	1176
空间够	1133
外观好看	1130
空间满意	1126
油耗有点高	1117
颜值高	1033
车身稳定	1027
性价很高	971
油耗很满意	965
动力强劲	956
油耗偏高	948
舒适性不错	920
操控好	864
空间宽敞	845
提速很快	838
座椅舒服	820
动力不足	817
操控不错	812
悬架偏硬	806
起步有点肉	790
座椅舒适	788
油耗不高	772
内饰不错	731
胎噪有点大	729
屏幕大	714
空间挺大	710
减震偏硬	707
做工精细	702
悬挂偏硬	700
座椅不错	674
后备箱大	655
座椅好	648
底盘高	640
座椅很好	640
动力满意	639
起步肉	635
做工不错	634
性价比不错	631
减震有点硬	623
后备箱很大	608
噪音有点大	604
动力充沛	597
舒适性很好	583
噪音大	565
内饰喜欢	562
空间很满意	560
动力十足	556
乘坐舒适	544
内饰满意	544
内饰豪华	542
手感不错	542
外观很漂亮	539
隔音不错	534
油耗不错	534
空间小	532
外观吸引	526
操控很好	518
动力好	517
性价比超高	511
外观不错	494
动力足	482
胎噪大	474
空间非常大	458
减震硬	452
动力还行	449
线条流畅	447
性价比最高	436
性价比非常高	433
手感很好	429
性价比挺高	428
外观没得说	426
动力强	423
动力杠杠	417
空间很宽敞	414
空间很不错	404
底盘扎实	402
动力很好	400
动力很足	400
性价不错	398
空间比较大	397
配置不错	396
性价比比较高	392
空间较大	389
外观霸气	386
后备箱空间很大	384
油耗很低	383
声音大	383
空间没得说	376
动力够	375
悬挂有点硬	373
换挡顿挫	372
油耗比较满意	369
风格喜欢	367
空间很好	364
起步慢	364
外观很大	363
后备箱小	360
空间还行	359
外观最满意	358
内饰简洁	352
座椅很舒适	351
后备箱空间大	346
外观很满意	344
路感清晰	342
内饰好看	341
配置实用	338
后备箱够用	335
配置很高	335
配置满意	335
内饰漂亮	333
性价超高	333
加速很快	331
内饰精致	326
空间还不错	325
后排大	325
油耗还行	325
座椅适中	322
回头率很高	320
动力充足	318
操作方便	317
后备箱有点小	316
油耗大	315
毛病大	314
运动感十足	313
悬架有点硬	309
油耗非常满意	306
大灯犀利	306
座椅很软	304
底盘偏硬	303
减震太硬	303
材料软	297
空间好	297
声音有点大	292
性价挺高	292
动力弱	291
动力还不错	291
悬挂硬	289
起步有点慢	285
前脸喜欢	283
隔音效果不错	282
视野开阔	279
性价非常高	279
配置很丰富	279
内饰大气	277
空间超大	276
转向清晰	274
座椅柔软	274
空间充足	272
材质软	271
前脸大气	270
空间有点小	269
天窗大	269
动力很不错	268
后排满意	268
轮毂大	266
座椅软	266
舒适性好	264
排量小	260
外观很好看	259
操控还行	259
内饰好	259
外观满分	259
起步很快	258
后备箱够	257
做工精致	257
操控性很好	257
性价最高	255
排量大	255
空调不错	255
配置好	254
舒适度不错	252
前脸霸气	250
油耗太高	248
转速高	247
舒适性还不错	246
内饰塑料	244
空间非常满意	244
颜值满意	240
内饰软	238
减震不错	238
内饰很满意	237
后备箱足够	235
油耗较高	235
用料不错	235
底盘不错	235
舒适性很不错	234
后排宽敞	234
动力满足	233
动力不够	233
加速不错	232
价格满意	232
空间最满意	231
做工很好	231
价格合适	230
颜色喜欢	229
外观最喜欢	227
回头率高	227
外观很喜欢	227
提速慢	227
内饰很不错	226
操控灵活	226
油耗挺满意	226
价格不贵	225
后备箱挺大	225
后排好	225
车身大	225
动力大	225
隔音很好	225
操控性不错	224
动力很满意	223
操作好	222
性能不错	222
内饰很漂亮	220
座椅偏硬	219
座椅非常舒服	217
中控大	215
空间满足	214
质感不错	213
视野好	212
座椅喜欢	212
方向盘手感不错	212
操控还不错	211
方向盘好	211
隔音好	210
空调很快	209
底盘硬	209
操控很不错	209
油耗好	208
底盘有点硬	207
发动机声音大	206
外观年轻	205
手感好	205
性价比满意	204
空间绝对够用	203
方向盘有点重	203
性价较高	200
异味大	200
油耗较满意	198
悬架硬	196
悬架偏舒适	193
外观大	193
提速不错	193
舒适性还行	193
内饰时尚	193
颜值很高	193
价格高	192
后备箱超大	192
内饰很好	191
外观很时尚	190
油耗较低	189
后排够用	188
空间很充足	187
油耗很不错	187
动力很强劲	187
底盘很稳	186
味道大	186
前排好	186
空调很好	185
操控挺好	184
后排很宽敞	184
做工好	183
档位清晰	183
质感很好	181
中控喜欢	181
方向盘很好	181
声音很大	180
操控性好	179
油耗比较低	179
油耗更低	177
空间比较满意	177
动力很充沛	176
油耗最满意	176
油耗很高	175
空间舒适	174
车身重	174
