feature	类别
安全性能	安全性能突出
安全系数	安全性能突出
安全感	安全性能突出
安全性	安全性能突出
安全配置	安全性能突出
操控性	操控便捷
过弯	操控便捷
转弯	操控便捷
换挡	操控便捷
操作	操控便捷
刹车	操控便捷
转向	操控便捷
操控	操控便捷
方向盘	操控便捷
下坡	动力强劲
爆发力	动力强劲
发动机动力	动力强劲
动力输出	动力强劲
上坡	动力强劲
爬坡	动力强劲
动力方面	动力强劲
马力	动力强劲
推背感	动力强劲
提速	动力强劲
发动机	动力强劲
加速	动力强劲
起步	动力强劲
动力	动力强劲
头部空间	空间大
腿部空间	空间大
后备箱空间	空间大
储物空间	空间大
前排	空间大
后备箱	空间大
后排	空间大
空间	空间大
工艺	内饰精致
内饰用料	内饰精致
装饰	内饰精致
细节	内饰精致
材料	内饰精致
质感	内饰精致
材质	内饰精致
用料	内饰精致
做工	内饰精致
内饰	内饰精致
节油	燃油经济
市区油耗	燃油经济
油耗方面	燃油经济
耗油	燃油经济
省油	燃油经济
油耗	燃油经济
舒适感	舒适性好
座椅舒适度	舒适性好
避震	舒适性好
隔音效果	舒适性好
舒适度	舒适性好
味道	舒适性好
隔音	舒适性好
减震	舒适性好
悬架	舒适性好
底盘	舒适性好
舒适性	舒适性好
空调	舒适性好
外形	外观优美
外观设计	外观优美
线条	外观优美
颜值	外观优美
造型	外观优美
车身	外观优美
外观	外观优美
价钱	性价比高
性价	性价比高
价格	性价比高
性价比	性价比高
配置	性价比高
性能	质量可靠
质量	质量可靠
品质	质量可靠
推荐	品牌声誉好
朋友	品牌声誉好
