feature	类别
安全配置	安全性
安全感	安全性
脚刹	行驶/操控
安全性能	安全性
安全系数	安全性
保险杠	外观
刹车	行驶/操控
电子手刹	安全性
手刹	行驶/操控
离合	行驶/操控
气囊	价格/配置
悬挂	舒适性
制动	行驶/操控
安全性	安全性
安全气囊	价格/配置
ABS防抱死	价格/配置
推背感	动力
动力输出	动力
转速	动力
爆发力	动力
动力	动力
动力方面	动力
爬陡坡	动力
发动机	动力
发动机动力	动力
马力	动力
爬坡	动力
上坡	动力
下坡	动力
加速	动力
起步	动力
起速	动力
提速	动力
涡轮	动力
视线	行驶/操控
视野	舒适性
过坑	舒适性
过坑洼路面	舒适性
过坑洼路	行驶/操控
过坑洼路段	舒适性
过减速带	舒适性
电子档把	内饰
电子档杆	内饰
手动挡	行驶/操控
自动驻车	行驶/操控
变速器	行驶/操控
变速箱	行驶/操控
操控性	行驶/操控
档杆	行驶/操控
档位	行驶/操控
方向盘手感	行驶/操控
方向盘指向	行驶/操控
扶手箱	空间
拐弯	行驶/操控
自动挡	行驶/操控
踏板	行驶/操控
指向	行驶/操控
指向性	行驶/操控
助力	行驶/操控
操控	行驶/操控
操作	行驶/操控
挡位	行驶/操控
倒车	行驶/操控
倒挡	行驶/操控
挂挡	行驶/操控
过弯	行驶/操控
换挡	行驶/操控
转弯	行驶/操控
转向	行驶/操控
方向盘	行驶/操控
经济模式	行驶/操控
运动模式	行驶/操控
普通模式	行驶/操控
标准模式	行驶/操控
路感	行驶/操控
越野	行驶/操控
越野性	舒适性
越野性能	行驶/操控
一键升降	价格/配置
GPS	价格/配置
esp	价格/配置
液压助力	价格/配置
倒车雷达	价格/配置
电动助力	价格/配置
电动座椅	价格/配置
电子助力	价格/配置
电动天窗	价格/配置
按键	内饰
按钮	内饰
备胎	价格/配置
喇叭	内饰
蓝牙	内饰
全景天窗	价格/配置
摄像头	价格/配置
收音机	内饰
天窗	价格/配置
性能	价格/配置
导航	内饰
配置	价格/配置
DVD	价格/配置
ESP	价格/配置
后雷达	价格/配置
后雨刷	外观
记录仪	价格/配置
前雷达	价格/配置
阅读灯	内饰
视频播放器	价格/配置
四驱系统	行驶/操控
车价	价格/配置
成本	价格/配置
费用	价格/配置
价格	价格/配置
价钱	价格/配置
价位	价格/配置
同价位	价格/配置
性价	价格/配置
性价比	价格/配置
后背相	空间
储物	空间
储物格	空间
储物空间	空间
后备厢	空间
后备厢容积	空间
后备箱	空间
后备箱空间	空间
后座	空间
驾驶室	空间
驾驶座	空间
空间	空间
空间方面	空间
空间设计	空间
内部空间	空间
内空间	空间
前后排	空间
前后排空间	空间
容积	空间
头部空间	空间
腿部空间	空间
尾部	外观
尾箱	空间
后排	空间
前排	空间
后尾箱	空间
座位	空间
质感	内饰
液晶仪表	内饰
液晶仪表盘	内饰
仪表盘	内饰
仪表	内饰
面板	内饰
屏幕	内饰
显示屏	内饰
皮质座椅	舒适性
皮座椅	舒适性
布局	内饰
材料	内饰
材质	内饰
大屏	内饰
氛围灯	内饰
工艺	内饰
黑内饰	内饰
黑色内饰	内饰
内饰	内饰
内饰方面	内饰
内饰用料	内饰
软质材料	内饰
细节	内饰
用料	内饰
真皮座椅	舒适性
中控台	内饰
装饰	内饰
坐椅	舒适性
座椅	舒适性
搭配	内饰
中控	内饰
做工	内饰
座椅材质	舒适性
静音效果	舒适性
气味	舒适性
手感	舒适性
味道	舒适性
新车味	舒适性
新车味道	舒适性
音响	舒适性
音响效果	舒适性
音质	舒适性
舒适感	舒适性
舒适性	舒适性
异味	舒适性
音效	舒适性
异响	舒适性
发动机声音	舒适性
发动机噪音	舒适性
风噪	舒适性
隔音	舒适性
隔音效果	舒适性
声音	舒适性
胎噪	舒适性
响声	舒适性
噪声	舒适性
噪音	舒适性
噪音控制	舒适性
净化器	舒适性
避震	舒适性
出风口	舒适性
底盘	舒适性
地盘	舒适性
空气净化器	舒适性
空调	舒适性
空调出风口	舒适性
舒适度	舒适性
头枕	舒适性
稳定性	舒适性
悬架	舒适性
坐垫	舒适性
座椅舒适度	舒适性
乘坐	舒适性
减震	舒适性
乘坐舒适度	舒适性
视觉效果	外观
视觉冲击力	外观
气质	外观
视觉	外观
印象	外观
运动感	外观
日间行车灯	外观
窗子	舒适性
卤素灯	外观
卤素大灯	外观
卤素灯泡	外观
行灯	外观
轮胎	舒适性
车窗	舒适性
车灯	外观
车顶	空间
车漆	外观
车身	外观
