feature	类别
安全性能	安全性
安全系数	安全性
安全感	安全性
安全性	安全性
安全配置	安全性
下坡	动力
爆发力	动力
发动机动力	动力
动力输出	动力
上坡	动力
爬坡	动力
动力方面	动力
马力	动力
转速	动力
推背感	动力
提速	动力
发动机	动力
加速	动力
起步	动力
动力	动力
操控性	行驶/操控
过弯	行驶/操控
转弯	行驶/操控
换挡	行驶/操控
操作	行驶/操控
刹车	行驶/操控
转向	行驶/操控
操控	行驶/操控
方向盘	行驶/操控
全景天窗	价格/配置
价钱	价格/配置
性能	价格/配置
性价	价格/配置
价格	价格/配置
性价比	价格/配置
配置	价格/配置
头部空间	空间
腿部空间	空间
轴距	空间
后备箱空间	空间
储物空间	空间
前排	空间
后备箱	空间
后排	空间
空间	空间
工艺	内饰
内饰用料	内饰
装饰	内饰
细节	内饰
材料	内饰
质感	内饰
材质	内饰
用料	内饰
做工	内饰
内饰	内饰
舒适感	舒适性
座椅舒适度	舒适性
避震	舒适性
发动机声音	舒适性
风噪	舒适性
视野	舒适性
地盘	舒适性
隔音效果	舒适性
舒适度	舒适性
味道	舒适性
异响	舒适性
隔音	舒适性
过减速带	舒适性
异味	舒适性
悬挂	舒适性
噪音	舒适性
减震	舒适性
悬架	舒适性
底盘	舒适性
舒适性	舒适性
空调	舒适性
座椅	舒适性
回头率	外观
外形	外观
外观设计	外观
线条	外观
颜值	外观
造型	外观
车身	外观
外观	外观
节油	油耗
市区油耗	油耗
油耗方面	油耗
耗油	油耗
省油	油耗
油耗	油耗
车联网互联	智能体验
夜视系统	智能体验
流媒体后视镜	智能体验
功能方向盘	智能体验
陡坡缓降	智能体验
全景摄像头	智能体验
语音识别	智能体验
手机互联	智能体验
上坡辅助	智能体验
多媒体车机	智能体验
行车电脑	智能体验
自适应巡航	智能体验
原片全屏	智能体验
行车记录仪	智能体验
多功能方向盘	智能体验
倒车影像	智能体验
定速巡航	智能体验
